CPU	CPU%c6
1	98.60
5	99.67
9	97.80
13	99.85
11	99.93
7	99.90
3	99.74
17	99.93
21	99.88
25	99.93
23	99.90
19	99.88
15	99.90
29	92.85
33	99.80
37	99.93
35	99.83
31	99.88
27	99.90
41	99.93
45	99.90
47	99.52
43	99.90
39	99.77
 
CPU	CPU%c6
-	96.96
0	0.00
4	99.90
8	93.20
10	99.83
6	99.84
2	99.83
12	97.54
16	99.95
20	99.95
22	99.70
18	99.93
14	97.88
24	98.91
28	99.95
32	98.78
36	99.90
34	98.70
30	95.48
26	99.95
40	94.85
44	99.80
46	99.69
42	98.73
38	95.71
1	95.81
5	99.54
9	98.69
13	99.93
11	99.33
7	99.45
3	99.85
17	99.93
21	99.90
25	99.93
23	99.95
19	99.88
15	99.95
29	95.53
33	99.83
37	99.93
35	99.95
31	99.88
27	99.95
41	99.81
45	99.95
47	99.40
43	99.93
39	99.73
 
CPU	CPU%c6
-	96.88
0	0.00
4	99.90
8	93.17
10	99.80
6	99.57
2	99.85
12	97.46
16	99.93
20	99.93
22	99.42
18	99.93
14	97.78
24	98.78
28	99.90
32	98.26
36	99.90
34	98.80
30	95.47
26	99.92
40	98.25
44	99.69
46	99.49
42	96.91
38	95.04
1	95.75
5	98.88
9	97.74
13	99.88
11	99.30
7	99.52
3	99.74
17	99.92
21	99.52
25	99.93
23	99.90
19	99.73
15	99.93
29	95.53
33	99.80
37	99.87
35	99.84
31	99.93
27	99.93
41	99.86
45	99.93
47	99.38
43	99.93
39	99.60
 
CPU	CPU%c6
-	96.94
0	0.00
4	99.52
8	93.61
10	99.44
6	98.52
2	99.21
12	97.30
16	99.88
20	99.95
22	99.71
18	99.80
14	98.09
24	99.02
28	99.95
32	98.60
36	99.92
34	98.88
30	95.47
26	99.93
40	98.05
44	99.73
46	99.47
42	96.75
38	95.30
1	95.78
5	99.54
9	99.04
13	99.84
11	99.79
7	99.87
3	99.72
17	99.93
21	99.93
25	99.91
23	99.95
19	99.88
15	99.95
29	95.58
33	99.83
37	99.95
35	99.95
31	99.95
27	99.87
41	99.95
45	99.93
47	99.57
43	99.95
39	99.56
 
CPU	CPU%c6
-	96.97
0	0.00
4	99.90
8	93.15
10	99.78
6	99.71
2	99.77
12	97.49
16	99.86
20	99.93
22	99.58
18	99.95
14	97.99
24	99.14
28	99.95
32	98.44
36	99.92
34	98.73
30	95.49
26	99.79
40	96.21
44	99.78
46	99.59
42	95.01
38	99.37
1	95.82
5	99.41
9	98.05
13	99.93
11	99.54
7	99.45
3	99.92
17	99.95
21	99.90
25	99.95
23	99.95
19	99.88
15	99.93
29	95.65
33	99.83
37	99.95
35	99.95
31	99.95
27	99.93
41	99.95
45	99.95
47	99.54
43	99.95
39	99.56
 
CPU	CPU%c6
-	96.87
0	0.00
4	99.88
8	93.17
10	99.73
6	99.60
2	99.78
12	97.11
16	99.88
20	99.93
22	99.59
18	99.90
14	98.02
24	99.04
28	99.93
32	98.37
36	99.87
34	98.71
30	95.42
26	99.80
40	95.51
44	99.75
46	99.52
42	95.45
38	98.87
1	93.51
5	99.73
9	98.62
13	99.88
11	98.67
7	99.19
3	99.30
17	99.89
21	99.53
25	99.90
23	99.93
19	99.56
15	99.93
29	97.19
33	99.83
37	99.90
35	99.93
31	99.87
27	99.93
41	99.93
45	99.93
47	99.58
43	99.90
39	99.51
 
CPU	CPU%c6
-	96.94
0	0.00
4	99.95
8	92.56
10	99.82
6	99.72
2	99.88
12	98.12
16	99.93
20	99.95
22	99.64
18	99.89
14	97.78
24	98.97
28	99.93
32	98.76
36	99.90
34	98.72
30	95.57
26	99.83
40	94.26
44	99.85
46	99.47
42	99.22
38	96.08
1	91.43
5	99.81
9	97.39
13	99.90
11	99.42
7	99.38
3	99.90
17	99.95
21	99.93
25	99.95
23	99.93
19	99.83
15	99.95
29	99.88
33	99.83
37	99.95
35	99.93
31	99.95
27	99.95
41	99.93
45	99.95
47	99.52
43	99.95
39	99.78
 
CPU	CPU%c6
-	96.92
0	0.00
4	99.93
8	92.50
10	99.63
6	99.61
2	99.87
12	98.50
16	99.95
20	99.95
22	99.32
18	99.95
14	97.95
24	99.02
28	99.95
32	98.71
36	99.92
34	98.79
30	95.52
26	99.81
40	95.15
44	99.80
46	99.54
42	98.61
38	95.57
1	93.68
5	99.47
9	98.28
13	99.93
11	99.30
7	99.35
3	99.85
17	99.93
21	99.92
25	99.95
23	99.95
19	99.90
15	99.95
29	96.95
33	99.83
37	99.95
35	99.95
31	99.90
27	99.93
41	99.95
45	99.93
47	99.32
43	99.95
39	99.46
 
CPU	CPU%c6
-	96.92
0	0.00
4	99.73
8	93.86
10	99.80
6	99.62
2	99.33
12	98.48
16	99.93
20	99.90
22	99.57
18	99.57
14	97.70
24	99.08
28	99.77
32	98.48
36	99.87
34	98.80
30	95.47
26	99.80
40	98.34
44	99.69
46	99.48
42	96.97
38	93.97
1	96.25
5	99.71
9	98.42
13	99.90
11	99.90
7	99.83
3	99.86
17	99.93
21	99.88
25	99.93
23	99.93
19	99.85
15	99.90
29	93.88
33	99.82
37	99.87
35	99.51
31	99.93
27	99.93
41	99.89
45	99.93
47	99.52
43	99.70
39	99.73
 
CPU	CPU%c6
-	96.94
0	0.00
4	99.87
8	93.64
10	99.75
6	99.75
2	99.56
12	97.70
16	99.85
20	99.95
22	99.73
18	99.69
14	97.67
24	99.11
28	99.95
32	98.58
36	99.91
34	98.83
30	95.50
26	99.79
40	97.73
44	99.83
46	99.64
42	96.52
38	95.16
1	93.76
5	99.72
9	97.81
13	99.72
11	99.72
7	99.30
3	99.77
17	99.95
21	99.90
25	99.89
23	99.95
19	99.88
15	99.95
29	97.51
33	99.68
37	99.95
35	99.95
31	99.88
27	99.89
41	99.95
45	99.95
47	99.57
43	99.95
39	99.75
 
CPU	CPU%c6
-	95.98
0	0.00
4	99.75
8	94.58
10	98.82
6	99.42
2	98.68
12	97.11
16	98.49
20	99.13
22	98.56
18	98.35
14	95.94
24	98.44
28	99.25
32	97.41
36	99.70
34	98.59
30	95.20
26	99.19
40	95.64
44	99.48
46	99.18
42	94.88
38	98.00
1	95.27
5	98.43
9	97.49
13	98.69
11	98.72
7	97.85
3	98.47
17	98.95
21	98.08
25	98.52
23	98.66
19	98.71
15	98.66
29	93.11
33	97.84
37	98.08
35	97.86
31	99.78
27	99.75
41	98.24
45	98.15
47	97.72
43	97.94
39	98.04
 
CPU	CPU%c6
-	96.88
0	0.00
4	99.78
8	93.19
10	99.80
6	99.69
2	99.85
12	98.37
16	99.93
20	99.93
22	99.22
18	99.95
14	97.27
24	98.81
28	99.95
32	98.67
36	99.92
34	98.83
30	95.50
26	99.81
40	95.53
44	99.85
46	99.61
42	95.77
38	97.88
1	94.25
5	99.47
9	98.40
13	99.88
11	98.59
7	99.28
3	99.28
17	99.92
21	99.93
25	99.95
23	99.95
19	99.90
15	99.95
29	96.40
33	99.75
37	99.95
35	99.95
31	99.83
27	99.93
41	99.95
45	99.90
47	99.52
43	99.95
39	99.46
 
CPU	CPU%c6
-	96.93
0	0.00
4	99.48
8	91.70
10	99.80
6	99.08
2	99.30
12	98.54
16	99.93
20	99.93
22	99.51
18	99.90
14	97.92
24	99.03
28	99.93
32	98.42
36	99.87
34	98.83
30	95.47
26	99.80
40	94.36
44	99.78
46	99.64
42	98.99
38	96.15
1	98.48
5	99.73
9	99.08
13	99.90
11	99.93
7	99.90
3	99.86
17	99.93
21	99.90
25	99.93
23	99.93
19	99.80
15	99.90
29	92.75
33	99.83
37	99.90
35	99.93
31	99.90
27	99.93
41	99.93
45	99.93
47	99.54
43	99.90
39	99.54
 
CPU	CPU%c6
-	96.99
0	0.00
4	99.90
8	92.47
10	99.83
6	99.84
2	99.85
12	98.53
16	99.95
20	99.95
22	99.54
18	99.93
14	98.05
24	98.82
28	99.95
32	94.23
36	99.92
34	98.91
30	99.95
26	99.83
40	95.28
44	99.80
46	99.69
42	98.52
38	96.16
1	95.61
5	99.81
9	98.44
13	99.87
11	99.32
7	99.37
3	99.90
17	99.95
21	99.90
25	99.93
23	99.95
19	99.88
15	99.95
29	96.07
33	99.77
37	99.95
35	99.93
31	99.95
27	99.95
41	99.93
45	99.95
47	99.51
43	99.95
39	99.77
 
CPU	CPU%c6
-	96.86
0	0.00
4	99.95
8	92.50
10	99.80
6	99.59
2	99.88
12	98.42
16	99.93
20	99.95
22	99.56
18	99.83
14	97.77
24	98.93
28	99.93
32	98.29
36	99.92
34	98.75
30	95.50
26	99.83
40	98.20
44	99.76
46	99.27
42	96.92
38	94.43
1	94.23
5	99.75
9	97.31
13	99.90
11	99.32
7	98.67
3	99.73
17	99.93
21	99.74
25	99.95
23	99.93
19	99.73
15	99.95
29	95.69
33	99.85
37	99.95
35	99.89
31	99.95
27	99.95
41	99.89
45	99.95
47	99.66
43	99.92
39	99.70
 
CPU	CPU%c6
-	96.90
0	0.00
4	99.81
8	93.24
10	99.80
6	99.63
2	99.60
12	98.45
16	99.88
20	99.90
22	99.28
18	99.86
14	97.68
24	99.04
28	99.93
32	98.70
36	99.90
34	98.86
30	95.44
26	99.75
40	97.75
44	99.83
46	99.59
42	96.44
38	95.57
1	91.76
5	99.50
9	97.20
13	99.87
11	99.19
7	99.27
3	98.69
17	99.93
21	99.88
25	99.89
23	99.93
19	99.82
15	99.93
29	99.85
33	99.78
37	99.93
35	99.93
